file,method,lvl,Content,MatchWith
APErrorCodes.java,doDeleteAction(),Info,""" AP Error Code deleted :"" + errorCode.getErrorCode()",
APErrorCodes.java,doEditAction(),Info,""" AP Error Code updated . """,
APErrorCodes.java,doInsertAction(),Info,""" AP Error Code inserted . """,
APErrorCodes.java,doInsertAction(),Error,"""AP Error Code existed.""",
APErrorCodes.java,doInsertAction(),Error,"""AP Error Code existed.""",
APErrorCodes.java,validate(),Error,""" Please fill following fields : "" + b",
APErrorCodes.java,validate(),Error,"""The errorCode must not be larger than 80 character!""",
APErrorCodes.java,validate(),Error,"""The errorMsg must not be larger than 240 character!""",
APErrorCodes.java,validate(APErrorCode),Error,""" Please fill following fields : "" + b",
APErrorCodes.java,validate(APErrorCode),Error,"""The errorCode must not be larger than 80 character!""",
APErrorCodes.java,validate(APErrorCode),Error,"""The errorMsg must not be larger than 240 character!""",
AddUsercode.java,doComfirmAction(),Error,""" Total of user code amounts should be equal to 'Billing Amount'.""",
AddUsercode.java,doComfirmAction(),Error,""" No payment no. , so can't change user code.""",
AddUsercode.java,doComfirmAction(),Error,""" Following  UserCode not found in GFMIS system ,if you still like to proceed , please press confirm again .""",
AddUsercode.java,doComfirmAction(),Error,"""The usercode format is invalid!""",
AddUsercode.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",
AddUsercode.java,notifyCardUser(),Info,""" Email Notification sent to :"" + creator.getUsername()",
AddUsercode.java,notifyCardUser(),Error,e.getMessage(),
AddUsercode.java,notifyCardUser(),Error,""" P-Card User has't a valid email address .""",
AddUsercode.java,notifyCardUser(),Error,""" Error accessing Database.""",
AddUsercode.java,notifyCardUser(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
AddUsercode.java,notifyCardUser(),Error,""" Error reading Email Notification config.""",
AddUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
AddUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
AddUsercode.java,validateUsercodeExist(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
AddUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
AddUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
AddUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
AddUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
ApproveCardTrans.java,doRetrieveAction(),Info,""" No P-Card statement of this bank needed your approval.  Please switch to the other bank to check if there are any outstanding approval tasks.""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Error,""" Can't send email notification [ cause : No section infomation found ].""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Info,"""P-Card Supervisor's approval task completed.  Email was sent to Finance Section.""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Warn,"""P-Card Supervisor's approval task completed.  However, no email was sent to Finance Section, please contact AOI(E) at 2601-8037.""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Error,""" Error - accessing Database .""",PCS-TRN-010
ApproveCardTrans.java,notifyEuClerks(),Error,""" Error - reading Email Notification Config.""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,""" Can't send email notification [ cause : No section infomation found ].""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Info,""" Email notification sent  to :"" + holder.getUsername()",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,e.getMessage(),PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,""" invalid email found :"" + holder.getEmail() + ""["" + holder.getUsername() + ""]""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Warn,""" P-Card Holder profile not found.""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,""" Error - accessing Database .""",PCS-TRN-010
ApproveCardTrans.java,notifyHolder(String),Error,""" Error - reading Email Notification Config.""",PCS-TRN-010
BillTransDetails.java,doConfirmAction(),Error,""" Total Amount doesn't equal to Billing Amount .""",
BillTransDetails.java,doConfirmAction(),Error,""" Following  UserCode not found in PCS system & not match up to predefined formats , if you still like to proceed , please press confirm again .""",
BillTransDetails.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",
BillTransDetails.java,validateUsercodes(ArrayList),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
BillTransDetails.java,validateUsercodes(ArrayList),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
BillTransDetails.java,validateUsercodes(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
BillTransDetails.java,validateUsercodes(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
CardProfileEnquiry.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-ENQ-001
CenterCode.java,doAddAction(),Error,"""Centre Code should have "" + getMaxLength() + "" digits and/or alphabets.""",PCS-SYS-023
CenterCode.java,doAddAction(),Info,""" A new code added :"" + getCode().getCentreCode()",PCS-SYS-023
CenterCode.java,doDeleteAction(),Info,""" Cost Centre Code removed :""+ current.getCentreCode()",PCS-SYS-023
CenterCode.java,doEditAction(),Error,"""Centre Code should have "" + getMaxLength() + "" digits and/or alphabets.""",PCS-SYS-023
CenterCode.java,doEditAction(),Info,""" Cost Centre code updated . """,PCS-SYS-023
ChangePCSUsercode.java,doComfirmAction(),Error,""" Total of user code amounts should be equal to 'Billing Amount'.""",
ChangePCSUsercode.java,doComfirmAction(),Error,""" Following  UserCode not found in GFMIS system ,if you still like to proceed , please press confirm again .""",
ChangePCSUsercode.java,doComfirmAction(),Error,"""The usercode format is invalid!""",
ChangePCSUsercode.java,doComfirmAction(),Error,"""Save user code successfully!""",
ChangePCSUsercode.java,doComfirmAction(),Error,""" No payment no. , so can't change user code.""",
ChangePCSUsercode.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",
ChangePCSUsercode.java,notifyCardUser(),Info,""" Email Notification sent to :"" + creator.getUsername()",
ChangePCSUsercode.java,notifyCardUser(),Error,e.getMessage(),
ChangePCSUsercode.java,notifyCardUser(),Error,""" P-Card User has't a valid email address .""",
ChangePCSUsercode.java,notifyCardUser(),Error,""" Error accessing Database.""",
ChangePCSUsercode.java,notifyCardUser(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
ChangePCSUsercode.java,notifyCardUser(),Error,""" Error reading Email Notification config.""",
ChangePCSUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
ChangePCSUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ChangePCSUsercode.java,validateUsercodeExist(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ChangePCSUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
ChangePCSUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ChangePCSUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
ChangePCSUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
ChangeUsercode.java,doComfirmAction(),Error,""" Total of user code amounts should be equal to 'Billing Amount'.""",PCS-TRN-008
ChangeUsercode.java,doComfirmAction(),Error,""" No payment no. , so can't change user code.""",PCS-TRN-008
ChangeUsercode.java,doComfirmAction(),Error,""" Following  UserCode not found in GFMIS system ,if you still like to proceed , please press confirm again .""",PCS-TRN-008
ChangeUsercode.java,doComfirmAction(),Error,"""The usercode format is invalid!""",PCS-TRN-008
ChangeUsercode.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",PCS-TRN-008
ChangeUsercode.java,notifyCardUser(),Info,""" Email Notification sent to :"" + creator.getUsername()",PCS-TRN-008
ChangeUsercode.java,notifyCardUser(),Error,e.getMessage(),PCS-TRN-008
ChangeUsercode.java,notifyCardUser(),Error,""" P-Card User has't a valid email address .""",PCS-TRN-008
ChangeUsercode.java,notifyCardUser(),Error,""" Error accessing Database.""",PCS-TRN-008
ChangeUsercode.java,notifyCardUser(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",PCS-TRN-008
ChangeUsercode.java,notifyCardUser(),Error,""" Error reading Email Notification config.""",PCS-TRN-008
ChangeUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",PCS-TRN-008
ChangeUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",PCS-TRN-008
ChangeUsercode.java,validateUsercodeExist(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",PCS-TRN-008
ChangeUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",PCS-TRN-008
ChangeUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",PCS-TRN-008
ChangeUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",PCS-TRN-008
ChangeUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",PCS-TRN-008
Charges.java,doIgnoreAction(),Info,""" Ignored Charges' status changed successfully.""",PCS-TRN-017
CheckTransFromAllHolders.java,doRejectAction(),Error,""" Server is busy.""",PCS-TRN-011
CheckTransFromAllHolders.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-TRN-011
CheckTransFromAllHolders.java,notifyHolders(String[]),Error,"""Can not find the holder's email. Email notify failed but transaction is updated!""",PCS-TRN-011
CheckTransFromAllHolders.java,notifyHolders(String[]),Info,msg,PCS-TRN-011
CheckTransFromAllHolders.java,notifyHolders(String[]),Error,e.getMessage(),PCS-TRN-011
CheckTransFromAllHolders.java,notifyHolders(String[]),Info,""" No Email notification sent  because No emails found .""",PCS-TRN-011
CheckTransFromAllHolders.java,notifyHolders(String[]),Error,""" Error - accessing Database .""",PCS-TRN-011
CheckTransFromAllHolders.java,notifyHolders(String[]),Error,"""Error - sending email .[ SMTP Host not found :"" + root.getMessage() + ""].""",PCS-TRN-011
CheckTransFromAllHolders.java,notifyHolders(String[]),Error,""" Error - reading Email Notification Config.""",PCS-TRN-011
CheckTransFromAllHolders.java,"notifySupervisors(String, String[])",Info,msg,PCS-TRN-011
CheckTransFromAllHolders.java,"notifySupervisors(String, String[])",Error,e.getMessage(),PCS-TRN-011
CheckTransFromAllHolders.java,"notifySupervisors(String, String[])",Info,""" No Email notification sent  because No email of EU Supervisors  responsible for this section found .""",PCS-TRN-011
CheckTransFromAllHolders.java,"notifySupervisors(String, String[])",Error,""" Error - accessing Database .""",PCS-TRN-011
CheckTransFromAllHolders.java,"notifySupervisors(String, String[])",Error,"""Error - sending email .[ SMTP Host not found :"" + root.getMessage() + ""].""",PCS-TRN-011
CheckTransFromAllHolders.java,"notifySupervisors(String, String[])",Error,""" Error - reading Email Notification Config.""",PCS-TRN-011
CleanUpTrans.java,doButton1Action(),Info,"""clear successfully""",PCS-HSK-001
CleanUpTrans.java,doButton1Action(),Error,e.getMessage(),PCS-HSK-001
CleanUpTrans.java,doButton3Action(),Info,"""clear successfully""",PCS-HSK-001
CleanUpTrans.java,doButton3Action(),Error,e.getMessage(),PCS-HSK-001
ConfirmBankStatements.java,doCancelConfirm(),Info,""" Status updated successfully.""",
ConfirmBankStatements.java,doConfirmAction(),Info,""" Status updated successfully ; """,
ConfirmBankStatements.java,doJob(PcardTopJob),Info,""" Update Status successfully. """,
ConfirmBankStatements.java,doRejectOneAction(),Info,""" Rejected successfully ; """,
ConfirmBankStatements.java,doRetrieveAction(),Info,""" No record was found for display in the below list. """,
ConfirmBankStatements.java,notifyCardUsers(String[]),Info,""" No Card Users to notify ; """,
ConfirmBankStatements.java,notifyCardUsers(String[]),Error,""" Can't notify Card Users [ cause : No section infomation found ] .""",
ConfirmBankStatements.java,notifyCardUsers(String[]),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
ConfirmBankStatements.java,notifyCardUsers(String[]),Info,tos,
ConfirmBankStatements.java,notifyCardUsers(String[]),Error,""" Error - accessing Database .""",
ConfirmBankStatements.java,notifyCardUsers(String[]),Error,""" Error - reading Email Notification Config.""",
ConfirmBankStatements.java,notifySupervisor(),Error,""" Can't notify Card Supervisor [ cause : No section infomation found ] .""",
ConfirmBankStatements.java,notifySupervisor(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
ConfirmBankStatements.java,notifySupervisor(),Info,tos,
ConfirmBankStatements.java,notifySupervisor(),Error,""" Error - accessing Database .""",
ConfirmBankStatements.java,notifySupervisor(),Error,""" Error - reading Email Notification Config.""",
CostCentreCode.java,doCreateAction(),Error,""" No Section selected. """,
CostCentreCode.java,doCreateAction(),Error,""" please enter 'Cost Centre Code' .""",
CostCentreCode.java,doCreateAction(),Info,""" Cost Centre Code created : "" + findSectionName(getSectionCode()) + ""/"" + getCostCentreCode()",
CostCentreCode.java,doCreateAction(),Error,""" Create failed :"" + e.getMessage()",
CostCentreCode.java,doDeleteAction(),abnormal,"===msgLvl===162addInfoMsg(
",
CostCentreCode.java,doRetrieveAction(),Info,""" No record was found for display in the below list. """,
CostCentreCode.java,getSections(),Error,""" Error - searching section list :"" + e.getMessage()",
DisputeForm.java,doConfirmAction(),Error,""" Nothing to dispute """,PCS-TRN-009
DisputeForm.java,doConfirmAction(),Error,""" Please check one Transaction Fee record .""",PCS-TRN-009
DisputeForm.java,handleFeeChanged(ValueChangeEvent),Error,""" Error - accessing DataBase.""",PCS-TRN-009
DisputeFormCitiBank.java,doConfirmAction(),Error,""" Nothing to dispute """,
EditTfcode.java,doDeleteAction(),Error,""" Error .""",
EditTfcode.java,doSaveAction(),Error,""" Total of Amount is not equals to "" + fee_amt + "", please fix amounts.""",
EditTfcode.java,doSaveAction(),Error,""" Cost Centre Code 's length should be 4 or 0.""",
EditTfcode.java,doSaveAction(),Info,""" Saved successfully. """,
EuApproveHolderBase.java,"doJob(EuBatchJob, ArrayList, Integer[])",Error,""" Please check some record first.""",
EuApproveHolderBase.java,"doJob(EuBatchJob, ArrayList, Integer[])",Info,""" Update status successfully .""",
EuBatchJob.java,"run(String, ArrayList, Integer[], ActionHistory)",Warn,""" [ Card No : "" + rowData.getCardNo() + "" ] "" + action.getErrorStatusMsg()",
EuBatchJob.java,"run(String, ArrayList, Integer[], ActionHistory)",Warn,"""[ Card No :"" + rowData.getCardNo() + "" ] "" + action.getErrorDependenceMsg()",
FacesMessages.java,addErrorMsg(String),Error,String detail,
FacesMessages.java,addInfoMsg(String),Info,String detail,
FacesMessages.java,addWarnMsg(String),Warn,String detail,
FacesUtil.java,addErrorMsg(String),Error,String detail,
FacesUtil.java,addInfoMsg(String),Info,String detail,
FacesUtil.java,addWarnMsg(String),Warn,String detail,
FeeUsercode.java,doSaveAction(),Info,""" Update Default user code successfully .""",PCS-SYS-016
Fees.java,doDeleteAction(),Info,""" fee_name deleted :"" + rowData.getFeeName()",PCS-SYS-008
Fees.java,doEditAction(),Error,""" Code Width must greater than or equal to User Code's length. """,PCS-SYS-008
Fees.java,doEditAction(),Info,""" Fee Name updated . """,PCS-SYS-008
Fees.java,doInsertAction(),Error,""" Code Width must greater than or equal to User Code's length. """,PCS-SYS-008
Fees.java,doInsertAction(),Info,""" Fee Name inserted . """,PCS-SYS-008
Fees.java,validate(),Error,""" Please fill following fields : "" + b",PCS-SYS-008
Footer.java,getConfig(),Error,""" Error - accessing PCPConfig.properties :"" + e.getMessage()",
GenPayFile.java,doAcceptAction(),Error,""" Please check one record in 'List of File Reference' first ;""",PCS-TRN-015
GenPayFile.java,doRemainAction(),Error,"""No remain usercode is generated at this moment.""",PCS-TRN-015
GenPayFile.java,doRetrieveAction(),Warn,""" Please select the due date and retrieve.""",PCS-TRN-015
GenPayFile.java,"genIt(boolean, boolean)",Warn,""" Please select the due date and retrieve.""",PCS-TRN-015
GenPayFile.java,reGenIt(String),Warn,""" Please select the due date and retrieve.""",PCS-TRN-015
GenPayFile.java,reGenIt(String),Warn,""" Please select the Bank and retrieve.""",PCS-TRN-015
IgnoredItem.java,doCreateAction(),Info,""" Ignored Item added :"" + getName()",
IgnoredItem.java,doDeleteAction(),Info,""" Ignored Item deleted :"" + sname",
IgnoredItem.java,doEditAction(),abnormal,"===msgLvl===101addInfoMsg(
",
InputUserCodePmsu.java,doConfirmAction(),Error,""" Total of user code amounts should be equal to 'Billing Amount'.""",
InputUserCodePmsu.java,doConfirmAction(),Error,""" Following  UserCode not found in GFMIS system ,if you still like to proceed , please press confirm again .""",
InputUserCodePmsu.java,doConfirmAction(),Error,"""The usercode format is invalid!""",
InputUserCodePmsu.java,doConfirmAction(),Error,""" No payment no. , so can't change user code.""",
InputUserCodePmsu.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",
InputUserCodePmsu.java,notifyCardUser(),Info,""" Email Notification sent to :"" + creator.getUsername()",
InputUserCodePmsu.java,notifyCardUser(),Error,e.getMessage(),
InputUserCodePmsu.java,notifyCardUser(),Error,""" P-Card User has't a valid email address .""",
InputUserCodePmsu.java,notifyCardUser(),Error,""" Error accessing Database.""",
InputUserCodePmsu.java,notifyCardUser(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
InputUserCodePmsu.java,notifyCardUser(),Error,""" Error reading Email Notification config.""",
InputUserCodePmsu.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
InputUserCodePmsu.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
InputUserCodePmsu.java,validateUsercodeExist(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
InputUserCodePmsu.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
InputUserCodePmsu.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
InputUserCodePmsu.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
InputUserCodePmsu.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
InterfaceControl.java,doEditAction(),Info,""" Saved successfully.""",PCS-SYS-017
InterfaceControl.java,validateFields(),Error,""" Please enter 'Department Code' .""",PCS-SYS-017
InterfaceControl.java,validateFields(),Error,""" Please enter 'System ID' .""",PCS-SYS-017
InterfaceControl.java,validateFields(),Error,""" Please enter 'Source' . """,PCS-SYS-017
InterfaceControl.java,validateFields(),Error,""" Please enter 'Financial Year' .""",PCS-SYS-017
InterfaceControl.java,validateFields(),Error,""" Please enter 'DVN Range minimal ' . """,PCS-SYS-017
InterfaceControl.java,validateFields(),Error,""" Please enter 'DVN Range maximal' . """,PCS-SYS-017
Loginlet.java,doLoginAction(),Error,""" Please enter User ID & Password. """,
Loginlet.java,validateFiels(),Error,""" Please enter 'User ID' .""",
Loginlet.java,validateFiels(),Error,""" Please enter 'Password' .""",
Main.java,doDeleteCurrentDueDateAction(),Info,"""current due date deleted!""",
Main.java,doDeleteCurrentDueDateAction(),Error,e.getMessage(),
Main.java,doRunAction(),Error,""" Please 'Enable Night Auto-Batch Match Job'  first . """,
Main.java,doRunAction(),Info,strMsg,
Main.java,doRunAction(),Info,msg,
Main.java,doSendAutoBatchNightJobMail(),Info,strMsg,
Main.java,doSendAutoBatchNightJobMail(),Info,msg,
Main.java,doSendAutoBatchNightJobMail(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
Main.java,doSendAutoBatchNightJobMail(),Info,""" 'Night Auto Batch match job' already runned , but email notification sent failed .""",
MatchVerifyTrans.java,AcceptPmsuData(),Info,""" Accepted transaction moved up to 'Matched/Accepted/Disputed' List  ;""",PCS-TRN-005
MatchVerifyTrans.java,acceptAfter(Integer),Info,""" Accepted transaction moved up to 'Matched/Accepted/Disputed' List  ;""",PCS-TRN-005
MatchVerifyTrans.java,aucAfter(Integer),Info,""" Accepted transaction moved up to 'Matched/Accepted/Disputed' List  ;""",PCS-TRN-005
