"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","PRIMARY"
"PAYMENTCONTROL","DIR_RETURN_FILE","VARCHAR2",200,,,"Y","N"
"PAYMENTCONTROL","DISPUTE_REPORT_TEMPLATE","VARCHAR2",100,,,"Y","N"
"PAYMENTCONTROL","DVN_MAX_NUM","NUMBER",22,,0,"Y","N"
"PAYMENTCONTROL","DVN_MIN_NUM","NUMBER",22,,0,"Y","N"
"PAYMENTCONTROL","DVN_NEXT_NUM","NUMBER",22,,0,"Y","N"
"PAYMENTCONTROL","FACILITY_ACCT_NO","VARCHAR2",16,,,"Y","N"
"PAYMENTCONTROL","FIN_YR","VARCHAR2",2,,,"Y","N"
"PAYMENTCONTROL","FX_IND","VARCHAR2",1,,,"Y","N"
"PAYMENTCONTROL","INV_DESC1","VARCHAR2",30,,,"Y","N"
"PAYMENTCONTROL","INV_DESC2","VARCHAR2",30,,,"Y","N"
"PAYMENTCONTROL","INV_REC_DATE","DATE",7,,,"Y","N"
"PAYMENTCONTROL","LATEST_GEN_DATE","DATE",7,,,"Y","N"
"PAYMENTCONTROL","LATEST_SEQUENCE","NUMBER",22,3,0,"Y","N"
"PAYMENTCONTROL","MAX_NUM","NUMBER",22,,0,"Y","N"
"PAYMENTCONTROL","MIN_NUM","NUMBER",22,,0,"Y","N"
"PAYMENTCONTROL","NATURE_OF_PAYMENT","VARCHAR2",1,,,"Y","N"
"PAYMENTCONTROL","NEXT_AUTH_UID","VARCHAR2",12,,,"Y","N"
"PAYMENTCONTROL","NEXT_NUM","NUMBER",22,,0,"Y","N"
"PAYMENTCONTROL","PART_DIS_IND","VARCHAR2",1,,,"Y","N"
"PAYMENTCONTROL","PAYEE_DESC1","VARCHAR2",40,,,"Y","N"
"PAYMENTCONTROL","PAYEE_DESC2","VARCHAR2",40,,,"Y","N"
"PAYMENTCONTROL","PAYMENT_CONTROL_REF_NO","VARCHAR2",15,,,"N","Y"
"PAYMENTCONTROL","PAY_METHOD","VARCHAR2",1,,,"Y","N"
"PAYMENTCONTROL","PAY_NAME","VARCHAR2",1,,,"Y","N"
"PAYMENTCONTROL","PAY_OFFICE","VARCHAR2",3,,,"Y","N"
"PAYMENTCONTROL","PAY_TYPE","VARCHAR2",1,,,"Y","N"
"PAYMENTCONTROL","PREPARED_UID","VARCHAR2",12,,,"Y","N"
"PAYMENTCONTROL","SOURCE","VARCHAR2",1,,,"Y","N"
"PAYMENTCONTROL","STATISTIC_IND","VARCHAR2",1,,,"Y","N"
"PAYMENTCONTROL","SUFFIX_SEQUENCE","VARCHAR2",2,,,"Y","N"
"PAYMENTCONTROL","SYSTEM_ID","VARCHAR2",4,,,"Y","N"
"PAYMENTCONTROL","SYSTEM_TYPE","VARCHAR2",8,,,"Y","N"
"PAYMENTCONTROL","UPD_DATE","DATE",7,,,"Y","N"
"PAYMENTCONTROL","UPD_UID","VARCHAR2",10,,,"Y","N"
"PAYMENTCONTROL","VIO","VARCHAR2",6,,,"Y","N"
"PCARD_REJECTED","DUE_DATE_REF_NO","VARCHAR2",15,,,"N","Y"
"PCARD_REJECTED","PCARD_NO","VARCHAR2",20,,,"N","Y"
"PCARD_REJECTED","REASON","VARCHAR2",200,,,"Y","N"
"PCSUSERCODE","AMOUNT","NUMBER",22,18,4,"Y","N"
"PCSUSERCODE","SEQ_NO","NUMBER",22,,0,"N","Y"
"PCSUSERCODE","TRANS_ID","VARCHAR2",7,,,"N","Y"
"PCSUSERCODE","USERCODE","VARCHAR2",40,,,"Y","N"
"PLAN_TABLE","BYTES","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","CARDINALITY","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","COST","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","CPU_COST","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","DISTRIBUTION","VARCHAR2",30,,,"Y","N"
"PLAN_TABLE","ID","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","IO_COST","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","OBJECT_INSTANCE","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","OBJECT_NAME","VARCHAR2",30,,,"Y","N"
"PLAN_TABLE","OBJECT_NODE","VARCHAR2",128,,,"Y","N"
"PLAN_TABLE","OBJECT_OWNER","VARCHAR2",30,,,"Y","N"
"PLAN_TABLE","OBJECT_TYPE","VARCHAR2",30,,,"Y","N"
"PLAN_TABLE","OPERATION","VARCHAR2",30,,,"Y","N"
"PLAN_TABLE","OPTIMIZER","VARCHAR2",255,,,"Y","N"
"PLAN_TABLE","OPTIONS","VARCHAR2",255,,,"Y","N"
"PLAN_TABLE","OTHER","LONG",0,,,"Y","N"
"PLAN_TABLE","OTHER_TAG","VARCHAR2",255,,,"Y","N"
"PLAN_TABLE","PARENT_ID","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","PARTITION_ID","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","PARTITION_START","VARCHAR2",255,,,"Y","N"
"PLAN_TABLE","PARTITION_STOP","VARCHAR2",255,,,"Y","N"
"PLAN_TABLE","POSITION","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","REMARKS","VARCHAR2",80,,,"Y","N"
"PLAN_TABLE","SEARCH_COLUMNS","NUMBER",22,,,"Y","N"
"PLAN_TABLE","STATEMENT_ID","VARCHAR2",30,,,"Y","N"
"PLAN_TABLE","TEMP_SPACE","NUMBER",22,,0,"Y","N"
"PLAN_TABLE","TIMESTAMP","DATE",7,,,"Y","N"
"PMSUDATA","APPROVALDATE","DATE",7,,,"Y","N"
"PMSUDATA","DEPT","VARCHAR2",30,,,"Y","N"
"PMSUDATA","DOCUMENTNO","VARCHAR2",50,,,"Y","N"
"PMSUDATA","ENGLISHSUPPLIER1","VARCHAR2",100,,,"Y","N"
"PMSUDATA","ENGLISHSUPPLIER2","VARCHAR2",100,,,"Y","N"
"PMSUDATA","LASTUPDATE","DATE",7,,,"Y","N"
"PMSUDATA","PCSTRANSID","VARCHAR2",50,,,"Y","N"
"PMSUDATA","REFERENCEID","VARCHAR2",50,,,"Y","N"
"PMSUDATA","RETURNAMOUNT","NUMBER",22,7,2,"Y","N"
"PMSUDATA","STATUS","VARCHAR2",1,,,"Y","N"
"PMSUDATA","UPLOADOPR","VARCHAR2",50,,,"Y","N"
"PMSUDATA","USERNAME","VARCHAR2",30,,,"Y","N"
"REMINDER","DUE_DATE","DATE",7,,,"N","Y"
"REMINDER","LAST_UPDATE_DATE","DATE",7,,,"Y","N"
"REMINDER","LAST_UPDATE_USER_ID","VARCHAR2",15,,,"Y","N"
"REMINDER","REMINDER_1","DATE",7,,,"Y","N"
"REMINDER","REMINDER_2","DATE",7,,,"Y","N"
"REMINDER","REMINDER_3","DATE",7,,,"Y","N"
"REMINDER","REMINDER_4","NUMBER",22,3,0,"Y","N"
"ROLE","CREATE_DATE","DATE",7,,,"Y","N"
"ROLE","DESCRIPTION","VARCHAR2",100,,,"Y","N"
"ROLE","LAST_UPDATE_DATE","DATE",7,,,"Y","N"
"ROLE","LAST_UPDATE_USER","VARCHAR2",15,,,"Y","N"
"ROLE","ROLE_ID","VARCHAR2",20,,,"N","Y"
"ROLE","STATUS","NUMBER",22,2,0,"Y","N"
"ROLEFUNCTION","FUNCTION","VARCHAR2",20,,,"N","Y"
"ROLEFUNCTION","PAGE","VARCHAR2",50,,,"N","Y"
"ROLEFUNCTION","ROLE_ID","VARCHAR2",20,,,"N","Y"
"SEQUENCENO","PREFIX","VARCHAR2",10,,,"N","Y"
"SEQUENCENO","PREFIX1","VARCHAR2",6,,,"N","Y"
"SEQUENCENO","SEQ_NO","NUMBER",22,9,0,"Y","N"
"SYSTEMPROFILE","FEE_USERCODE","VARCHAR2",40,,,"Y","N"
"SYSTEMPROFILE","GEN_DATE","DATE",7,,,"Y","N"
"SYSTEMPROFILE","NEXT_DVN_SEQ","NUMBER",22,,,"Y","N"
"SYSTEMPROFILE","PROFILE_ID","NUMBER",22,5,0,"N","Y"
"SYSTEMPROFILE","SEQUENCE","NUMBER",22,3,0,"Y","N"
"SYSTEMPROFILE","USERCODE_DIR_OUTBOUND_FILE","VARCHAR2",200,,,"Y","N"
"TEAM","DESCRIPTION","VARCHAR2",100,,,"Y","N"
"TEAM","TEAM_ID","NUMBER",22,3,0,"N","Y"
"TEAMSECTIONMAP","SECTION_CODE","VARCHAR2",5,,,"N","Y"
"TEAMSECTIONMAP","TEAM_ID","NUMBER",22,3,0,"N","Y"
"TF_CCCODE","AMOUNT","NUMBER",22,4,2,"Y","N"
"TF_CCCODE","CCCODE","VARCHAR2",40,,,"N","Y"
"TF_CCCODE","TRANS_ID","VARCHAR2",7,,,"N","Y"
"TOAD_PLAN_TABLE","ACCESS_PREDICATES","VARCHAR2",4000,,,"Y","N"
"TOAD_PLAN_TABLE","BYTES","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","CARDINALITY","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","COST","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","CPU_COST","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","DEPTH","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","DISTRIBUTION","VARCHAR2",30,,,"Y","N"
"TOAD_PLAN_TABLE","FILTER_PREDICATES","VARCHAR2",4000,,,"Y","N"
"TOAD_PLAN_TABLE","ID","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","IO_COST","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","OBJECT_ALIAS","VARCHAR2",65,,,"Y","N"
"TOAD_PLAN_TABLE","OBJECT_INSTANCE","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","OBJECT_NAME","VARCHAR2",30,,,"Y","N"
"TOAD_PLAN_TABLE","OBJECT_NODE","VARCHAR2",128,,,"Y","N"
"TOAD_PLAN_TABLE","OBJECT_OWNER","VARCHAR2",30,,,"Y","N"
"TOAD_PLAN_TABLE","OBJECT_TYPE","VARCHAR2",30,,,"Y","N"
"TOAD_PLAN_TABLE","OPERATION","VARCHAR2",30,,,"Y","N"
"TOAD_PLAN_TABLE","OPTIMIZER","VARCHAR2",255,,,"Y","N"
"TOAD_PLAN_TABLE","OPTIONS","VARCHAR2",255,,,"Y","N"
"TOAD_PLAN_TABLE","OTHER","LONG",0,,,"Y","N"
"TOAD_PLAN_TABLE","OTHER_TAG","VARCHAR2",255,,,"Y","N"
"TOAD_PLAN_TABLE","OTHER_XML","CLOB",4000,,,"Y","N"
"TOAD_PLAN_TABLE","PARENT_ID","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","PARTITION_ID","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","PARTITION_START","VARCHAR2",255,,,"Y","N"
"TOAD_PLAN_TABLE","PARTITION_STOP","VARCHAR2",255,,,"Y","N"
"TOAD_PLAN_TABLE","PLAN_ID","NUMBER",22,,,"Y","N"
"TOAD_PLAN_TABLE","POSITION","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","PROJECTION","VARCHAR2",4000,,,"Y","N"
"TOAD_PLAN_TABLE","QBLOCK_NAME","VARCHAR2",30,,,"Y","N"
"TOAD_PLAN_TABLE","REMARKS","VARCHAR2",4000,,,"Y","N"
"TOAD_PLAN_TABLE","SEARCH_COLUMNS","NUMBER",22,,,"Y","N"
"TOAD_PLAN_TABLE","STATEMENT_ID","VARCHAR2",30,,,"Y","N"
"TOAD_PLAN_TABLE","TEMP_SPACE","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","TIME","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","TIMESTAMP","DATE",7,,,"Y","N"
"TRAILER","BILLING_DATE","DATE",7,,,"Y","N"
"TRAILER","CLOSING_BAL","NUMBER",22,18,2,"Y","N"
"TRAILER","CLOSING_BAL_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","COMP_ACC_NUM","VARCHAR2",5,,,"N","Y"
"TRAILER","COMP_FAC_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","COMP_NAME","VARCHAR2",19,,,"N","N"
"TRAILER","CUR_MON_CASH_ADV_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_CASH_ADV_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_CREDIT_ADJ_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_CREDIT_ADJ_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_DEBIT_ADJ_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_DEBIT_ADJ_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_PURCHASE_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_PURCHASE_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_TOTAL_CHARGE_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_TOTAL_CHARGE_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_TOTAL_PAYMENT_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_TOTAL_PAYMENT_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","DETAIL_REC_CNT","NUMBER",22,6,0,"Y","N"
"TRAILER","DUE_DATE_REF_NO","VARCHAR2",15,,,"N","Y"
"TRAILER","OPENING_BAL","NUMBER",22,18,2,"Y","N"
"TRAILER","OPENING_BAL_CRE","VARCHAR2",30,,,"Y","N"
"TRANSACTIONLOG","ACTION","VARCHAR2",15,,,"Y","N"
"TRANSACTIONLOG","BILLING_AMT","NUMBER",22,18,2,"Y","N"
"TRANSACTIONLOG","CARDHOLDER","VARCHAR2",19,,,"Y","N"
"TRANSACTIONLOG","CARD_ID","VARCHAR2",20,,,"Y","N"
"TRANSACTIONLOG","DISPUTE_AMT","NUMBER",22,18,2,"Y","N"
"TRANSACTIONLOG","DUE_DATE","DATE",7,,,"Y","N"
"TRANSACTIONLOG","LOG_ID","VARCHAR2",15,,,"N","Y"
"TRANSACTIONLOG","NET_AMT","NUMBER",22,18,2,"Y","N"
"TRANSACTIONLOG","NO_OF_DISPUTE","NUMBER",22,5,0,"Y","N"
"TRANSACTIONLOG","POST","VARCHAR2",20,,,"Y","N"
"TRANSACTIONLOG","SECTION","VARCHAR2",30,,,"Y","N"
"TRANSACTIONLOG","STATUS","NUMBER",22,2,0,"Y","N"
"TRANSACTIONLOG","TIME_STAMP","TIMESTAMP(6)",11,,6,"Y","N"
"TRANSACTIONLOG","USER_ID","VARCHAR2",15,,,"Y","N"
"TRANSACTIONLOG","USER_NAME","VARCHAR2",50,,,"Y","N"
"UC_FORMAT","INITIALCODE","VARCHAR2",20,,,"N","Y"
"UC_FORMAT","TNOC","NUMBER",22,2,0,"N","Y"
"USERCODE","UPDUID","VARCHAR2",10,,,"Y","N"
"USERCODE","UPD_DATE","DATE",7,,,"Y","N"
"USERCODE","USER_CODE","VARCHAR2",40,,,"N","Y"
"USEROLEMAP","ROLE_ID","VARCHAR2",20,,,"N","Y"
"USEROLEMAP","USER_ID","VARCHAR2",15,,,"N","Y"
"USERTEAMMAP","TEAM_ID","NUMBER",22,3,0,"N","Y"
"USERTEAMMAP","USER_ID","VARCHAR2",15,,,"N","Y"
"VOUCHER","BATCH_BILLING_REF_NO","VARCHAR2",20,,,"N","N"
"VOUCHER","CRN","VARCHAR2",9,,,"Y","N"
"VOUCHER","DEPT_CODE","VARCHAR2",2,,,"Y","N"
"VOUCHER","DVN","VARCHAR2",15,,,"N","Y"
"VOUCHER","FINANCIAL_YR","VARCHAR2",2,,,"Y","N"
"VOUCHER","NATURE_OF_PAYMENT","VARCHAR2",1,,,"Y","N"
"VOUCHER","PAYMENT_METHOD","VARCHAR2",1,,,"Y","N"
"VOUCHER","PAYMENT_OFFICE","VARCHAR2",3,,,"Y","N"
"VOUCHER","PAYMENT_TYPE","VARCHAR2",1,,,"Y","N"
"VOUCHER","SOURCE","VARCHAR2",1,,,"Y","N"
"VOUCHER","SYSTEM_ID","VARCHAR2",7,,,"Y","N"
"VOUCHER","TIME_STAMP","TIMESTAMP(6)",11,,6,"Y","N"
"VOUCHERDETAIL","AMOUNT","NUMBER",22,18,2,"Y","N"
"VOUCHERDETAIL","DVN","VARCHAR2",15,,,"N","Y"
"VOUCHERDETAIL","USER_CODE","VARCHAR2",40,,,"N","Y"
